"Reviewed","Exported","Document type","Date added","Date issued","Vendor","Currency","Total","Tax","GST","HST","PST","QST","Other","Sales Tax","Tip","Type","Tax category","Classification","Sub-classification","Description","Pay method","Pay account","Card type","Card number","Comment"
"Yes","No","Receipt","8/28/2025 11:02 PM","8/4/2019","Fas Gas Red Deer","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,48.125"
"No","No","Receipt","8/28/2025 11:02 PM","8/3/2019","Fas Gas Red Deer","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-10,95.330"
"No","No","Receipt","8/28/2025 10:58 PM","8/7/2019","Fas Gas Red Deer","CAD","59.35","2.83","2.83","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,57.657"
"No","No","Receipt","8/28/2025 10:58 PM","8/8/2019","Fas Gas Red Deer","CAD","19.00","0.90","0.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,18.462"
"Yes","No","Receipt","8/28/2025 10:58 PM","8/8/2019","Fas Gas Red Deer","CAD","7.40","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","ice"
"Yes","No","Receipt","8/28/2025 10:58 PM","8/16/2019","Run'n On Empty 50Ave","CAD","40.43","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-3,33.122"
"Yes","No","Receipt","8/28/2025 10:59 PM","8/16/2019","Run'n On Empty 50Ave","CAD","40.00","1.91","1.91","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-19,40.45"
"No","No","Receipt","8/28/2025 10:59 PM","8/15/2019","Fas Gas west park","CAD","24.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,20.225"
"Yes","No","Receipt","8/28/2025 10:59 PM","8/11/2019","Fas Gas Red Deer","CAD","44.00","2.10","2.10","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,44.487"
"Yes","No","Receipt","8/28/2025 10:59 PM","8/15/2019","Burnt Lake Store","CAD","160.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","8/28/2025 10:59 PM","8/10/2019","SHELL CANADA PRODUCTS","CAD","105.01","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","","L-22,94.690"
"Yes","No","Receipt","8/28/2025 10:59 PM","8/10/2019","Run'n On Empty 50Ave","CAD","116.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-22,110.582"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Fas Gas Red Deer","CAD","98.75","4.70","4.70","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,88.260"
"Yes","No","Receipt","8/28/2025 10:59 PM","8/15/2019","Burnt Lake Store","CAD","53.90","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 10:59 PM","8/6/2019","PETROCANADA","CAD","36.00","1.24","1.24","0.00","0.00","0.00","0.00","","0.00","Business","","Fuel","","","Cash","","","","L-20,26.022"
"No","No","Receipt","8/28/2025 10:59 PM","7/6/2019","Run'n On Empty 50Ave","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","9206",""
"Yes","No","Receipt","8/28/2025 10:59 PM","7/13/2019","Delburn Esso","CAD","14.35","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","ice"
"Yes","No","Receipt","8/28/2025 10:59 PM","7/14/2019","Fas Gas Red Deer","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","8/28/2025 10:59 PM","7/24/2019","Fas Gas Red Deer","CAD","98.00","4.67","4.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,92.54"
"No","No","Receipt","8/28/2025 10:59 PM","7/22/2019","Run'n On Empty 50Ave","CAD","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 10:59 PM","8/31/2019","Run'n On Empty 50Ave","CAD","43.00","2.05","2.05","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,43.047"
"No","No","Receipt","8/28/2025 10:59 PM","8/21/2019","Run'n On Empty 50Ave","CAD","30.00","1.43","1.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-3,30.33"
"No","No","Receipt","8/28/2025 10:59 PM","8/16/2019","Run'n On Empty 50Ave","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,101.115"
"No","No","Receipt","8/28/2025 11:02 PM","8/17/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-23,80.890"
"No","No","Receipt","8/28/2025 10:59 PM","8/9/2019","Fas Gas Red Deer","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","8/28/2025 11:29 PM","5/8/2019","Run'n On Empty 50Ave","CAD","66.00","3.14","3.14","0.00","0.00","0.00","0.00","","0.00","","","Business expense","","","Debit","","","3265","L-5,54.562 and out of town meal"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","30.00","1.43","1.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,25.231"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L19, 44.682 lt"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/31/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","150.00","7.14","7.14","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,134.048"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/31/2019","Fas Gas Red Deer","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,35.75"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/30/2019","Run'n On Empty 50Ave","CAD","54.50","2.59","2.59","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,45.825"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/31/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","20.40","0.69","0.69","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/31/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-10,89.368"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/30/2019","Run'n On Empty 50Ave","CAD","124.50","5.93","5.93","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-5,104.712"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/31/2019","Fas Gas Ross Street","CAD","15.00","0.71","0.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,13.394"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/15/2019","SHELL CANADA PRODUCTS","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,89.367"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/25/2019","SHELL CANADA PRODUCTS","CAD","29.51","1.41","1.41","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,24.405"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/8/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/7/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","120.00","5.71","5.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","8/28/2025 11:28 PM","5/10/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/12/2019","Fas Gas North side","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-5,28.797"
"No","No","Receipt","8/28/2025 11:28 PM","5/22/2019","Run'n On Empty 50Ave","CAD","48.50","2.31","2.31","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L20,40.117"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/28/2019","Run'n On Empty 50Ave","CAD","48.60","1.95","1.95","0.00","0.00","0.00","0.00","","0.00","","","Business expense","","","Cash","","","","L-5,34.432 and out of town meal"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/27/2019","Fas Gas Red Deer","CAD","5.00","0.24","0.24","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/13/2019","7 eleven store 37826","CAD","15.00","0.71","0.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/23/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-8,82.712"
"Yes","No","Receipt","8/28/2025 11:28 PM","5/24/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-10,66.170"
"No","No","Receipt","8/28/2025 11:28 PM","5/13/2019","Fas Gas Red Deer","CAD","29.39","1.40","1.40","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","8/28/2025 11:28 PM","5/10/2019","Plenty of Liquor","CAD","282.11","12.54","12.54","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","6/28/2019","Fas Gas Red Deer","CAD","54.00","2.57","2.57","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-22,48.629"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/28/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","6/29/2019","FLYIN","CAD","47.75","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,47.75"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/15/2019","Bentley Esso","CAD","11.25","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","ice"
"No","No","Receipt","8/28/2025 11:27 PM","6/11/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L5,89.447"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/6/2019","Run'n On Empty 50Ave","CAD","52.00","2.14","2.14","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,40.21"
"No","No","Receipt","8/28/2025 11:27 PM","6/28/2019","Run'n On Empty 50Ave","CAD","47.00","2.24","2.24","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,42.002"
"No","No","Receipt","8/28/2025 11:27 PM","6/25/2019","Run'n On Empty 50Ave","CAD","87.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","8/28/2025 11:27 PM","6/25/2019","Run'n On Empty 50Ave","CAD","62.01","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","8/28/2025 11:27 PM","6/20/2019","Run'n On Empty 50Ave","CAD","90.00","4.29","4.29","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,80.425"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Run'n On Empty 50Ave","CAD","34.00","1.62","1.62","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,30.385"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/29/2019","Run'n On Empty 50Ave","CAD","51.00","2.43","2.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","","L-3,45.572"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/8/2019","Run'n On Empty 50Ave","CAD","7.40","0.33","0.33","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/18/2019","Plenty of Liquor","CAD","11.29","0.50","0.50","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Fas Gas Red Deer","CAD","31.00","1.48","1.48","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,26.072"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/22/2019","Fas Gas west park","CAD","20.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","",""
"No","No","Receipt","8/28/2025 11:27 PM","6/10/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","VISA","2011",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/29/2019","Central Alberta CO-OP Lacombe","CAD","10.59","0.45","0.45","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/15/2019","Bentley Esso","CAD","24.40","1.16","1.16","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/22/2019","Fas Gas Penhold","CAD","14.80","0.36","0.36","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:28 PM","6/30/2019","Fas Gas Red Deer","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,45.495"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/26/2019","Fas Gas Stettle","CAD","25.00","1.19","1.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,21.570"
"No","No","Receipt","8/28/2025 11:28 PM","6/29/2019","Fas Gas Red Deer","CAD","130.00","6.19","6.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,117.227"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/29/2019","Fas Gas Red Deer","CAD","15.10","0.72","0.72","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,13.622"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/26/2019","Fas Gas Red Deer","CAD","104.00","4.95","4.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-24,99.139"
"Yes","No","Receipt","8/28/2025 11:28 PM","6/26/2019","Run'n On Empty 50Ave","CAD","111.00","5.29","5.29","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L24,94.974"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/14/2019","Run'n On Empty 50Ave","CAD","106.00","5.05","5.05","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,94.730 "
"Yes","No","Receipt","9/3/2025 9:17 PM","5/8/2019","Fas Gas Red Deer","CAD","8.30","0.39","0.39","0.00","0.00","0.00","0.00","","0.00","","","vehicle supplies","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:17 PM","5/24/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","230.00","10.95","10.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-11,185.633"
"Yes","No","Receipt","9/3/2025 9:17 PM","5/26/2019","FLYING J","CAD","11.84","0.56","0.56","0.00","0.00","0.00","0.00","","0.00","","","vehicle supplies","","","Debit","","","3265",""
"No","No","Receipt","9/3/2025 9:35 PM","3/7/2019","Fas Gas Red Deer","CAD","52.50","2.50","2.50","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","9/3/2025 9:35 PM","2/23/2019","Burnt Lake Store","CAD","58.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","6823","L-20,53.262  splt with meal"
"No","No","Receipt","9/3/2025 9:35 PM","3/16/2019","PETRO-CANADA","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","1581",""
"No","No","Receipt","9/3/2025 9:35 PM","4/2/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Card","","","3265","L-6,16.824"
"Yes","No","Receipt","9/3/2025 9:35 PM","4/24/2019","R.E Brigley & sons ltc","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-11,"
"Yes","No","Receipt","9/3/2025 9:35 PM","5/1/2019","R.E Brigley & sons ltc","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L11,"
"Yes","No","Receipt","9/3/2025 9:35 PM","5/18/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","25.80","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","water and ice"
"Yes","No","Receipt","9/3/2025 9:35 PM","5/22/2019","Run'n On Empty 50Ave","CAD","3.69","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","3265",""
"Yes","No","Receipt","9/4/2025 10:15 AM","2/23/2019","Burnt Lake Store","CAD","7.42","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Card","","MASTERCARD","6823",""
"No","No","Receipt","9/4/2025 11:09 AM","1/24/2019","Run'n On Empty 50Ave","CAD","5.97","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Debit","","","3265",""
"Yes","No","Receipt","9/4/2025 11:18 AM","1/21/2019","Run'n On Empty 50Ave","CAD","13.68","0.64","0.64","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Debit","","","3265","split receipt driver meal"
"Yes","No","Receipt","9/8/2025 3:56 PM","2/6/2019","Run'n On Empty 50Ave","CAD","10.89","0.42","0.42","0.00","0.00","0.00","0.00","","0.00","Personal","Deductible","Food","","","Debit","","","3265",""
"Yes","No","Receipt","9/8/2025 4:29 PM","3/8/2019","Run'n On Empty 50Ave","CAD","19.54","0.93","0.93","0.00","0.00","0.00","0.00","","0.00","Personal","","Food","","","Cash","","","",""
"Yes","No","Receipt","9/8/2025 5:39 PM","3/15/2019","32 nd street esso","CAD","130.00","0.43","0.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/8/2025 6:20 PM","5/2/2019","Fas Gas west park","CAD","2.93","0.14","0.14","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Card","","MASTERCARD","1941",""
"No","No","Receipt","9/8/2025 6:25 PM","5/27/2019","Run'n On Empty 50Ave","CAD","54.01","2.57","2.57","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","9/8/2025 6:46 PM","5/11/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","17.66","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","9206",""
"No","No","Receipt","9/8/2025 8:05 PM","3/4/2019","PETRO-CANADA","CAD","11.69","0.56","0.56","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Card","","MASTERCARD","3559",""
"Yes","No","Receipt","9/8/2025 8:22 PM","2/26/2019","Fas Gas Red Deer","CAD","2.95","0.14","0.14","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Card","","","",""
"Yes","No","Receipt","9/8/2025 8:28 PM","3/29/2019","Fas Gas Red Deer","CAD","5.95","0.11","0.11","0.00","0.00","0.00","0.00","","0.00","","","Office Supplies","","","Cash","","","",""
"Yes","No","Receipt","9/8/2025 9:06 PM","4/19/2019","Fas Gas Red Deer","CAD","13.99","0.67","0.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","1468",""
"Yes","No","Receipt","9/3/2025 9:35 PM","3/13/2019","PETRO-CANADA","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559","L-20,47.660"
"Yes","No","Receipt","9/3/2025 9:35 PM","4/24/2019","CENTRAL AB CO-OP 69 Dunlop st","CAD","78.02","3.72","3.72","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","9/3/2025 9:35 PM","3/8/2019","canadian tire","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559","L-22,38.499"
"Yes","No","Receipt","9/3/2025 9:35 PM","4/19/2019","Fas Gas Red Deer","CAD","42.67","2.03","2.03","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","8607",""
"No","No","Receipt","9/3/2025 9:22 PM","10/9/2019","Run'n On Empty 50Ave","CAD","56.45","2.69","2.69","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-11,49.56"
"Yes","No","Receipt","9/3/2025 9:22 PM","1/19/2019","Fas Gas Red Deer","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","9/3/2025 9:22 PM","1/21/2019","Run'n On Empty 50Ave","CAD","53.50","2.55","2.55","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-3,55.787"
"Yes","No","Receipt","9/3/2025 9:22 PM","1/16/2019","Fas Gas Red Deer","CAD","8.58","0.13","0.13","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","9206",""
"No","No","Receipt","9/3/2025 9:22 PM","1/24/2019","Run'n On Empty 50Ave","CAD","121.01","5.76","5.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-24,117.597"
"Yes","No","Receipt","9/3/2025 9:22 PM","11/2/2019","Fas Gas Red Deer","CAD","25.00","1.19","1.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","","","","",""
"Yes","No","Receipt","9/3/2025 9:22 PM","2/28/2019","Fas Gas Red Deer","CAD","47.00","2.24","2.24","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","9/3/2025 9:22 PM","1/10/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","75.00","3.57","3.57","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206",""
"Yes","No","Receipt","9/3/2025 9:22 PM","10/11/2019","R.E Brigley & sons ltc","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-11,"
"Yes","No","Receipt","9/3/2025 9:22 PM","10/8/2019","PINK BOW","CAD","27.76","0.00","0.00","0.00","0.00","0.00","0.00","","1.00","","","Business expense","Business meal","","Card","","","3265",""
"Yes","No","Receipt","9/8/2025 9:18 PM","4/13/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","6.35","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:34 PM","1/11/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","97.11","4.62","4.62","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206",""
"Yes","No","Receipt","9/3/2025 9:34 PM","2/23/2019","gasoline alley esso","CAD","65.00","3.10","3.10","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","9/3/2025 9:34 PM","11/14/2016","Red Deer","CAD","30.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","","L-5,"
"Yes","No","Receipt","9/3/2025 9:34 PM","10/5/2019","Fas Gas Red Deer","CAD","140.00","6.67","6.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-23,140.13"
"Yes","No","Receipt","9/3/2025 9:34 PM","1/9/2019","west side esso","CAD","71.81","3.42","3.42","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","9206",""
"Yes","No","Receipt","9/3/2025 9:34 PM","1/16/2019","Fas Gas Red Deer","CAD","36.00","1.71","1.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","9/3/2025 9:35 PM","1/10/2019","Fas Gas Red Deer","CAD","87.89","4.19","4.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206",""
"No","No","Receipt","9/3/2025 9:35 PM","3/5/2019","PETRO-CANADA","CAD","23.51","1.12","1.12","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-20,19.605 date unreadable"
"No","No","Receipt","9/3/2025 9:35 PM","5/17/2019","Fas Gas Red Deer","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","9/3/2025 9:35 PM","3/16/2019","Red Deer Taylor","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559","L-8,66.722"
"No","No","Receipt","9/3/2025 9:35 PM","4/23/2019","Fas as Westpark","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","9/3/2025 9:34 PM","1/24/2019","nisku esso","CAD","104.00","4.95","4.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","9/3/2025 9:22 PM","10/10/2019","Run'n On Empty 50Ave","CAD","43.50","2.07","2.07","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-3,42.687"
"Yes","No","Receipt","9/8/2025 9:42 PM","6/14/2019","Run'n On Empty 50Ave","CAD","29.30","1.39","1.39","0.00","0.00","0.00","0.00","","0.00","","","Food","","","Debit","","","3265",""
